Path,WID,%-T,%-#,Count,Count/mL,Count/_L,file
live (cm2016-01-10.033),C10,100,---,5221,1.32E+05,131.55,live (cm2016-01-10.033)
P1,C10,86.25,86.25,4503,1.13E+05,113.46,live (cm2016-01-10.033)
P1\P2,C10,85.29,98.89,4453,1.12E+05,112.2,live (cm2016-01-10.033)
P1\P2\LL3,C10,85.23,99.93,4450,1.12E+05,112.13,live (cm2016-01-10.033)
P1\P2\UL3,C10,0.06,0.07,3,75.6,0.08,live (cm2016-01-10.033)
P1\P2\UR3,C10,0,0,0,0,0,live (cm2016-01-10.033)
P1\P2\LR3,C10,0,0,0,0,0,live (cm2016-01-10.033)
P1\P2\LL4,C10,85.29,100,4453,1.12E+05,112.2,live (cm2016-01-10.033)
P1\P2\UL4,C10,0,0,0,0,0,live (cm2016-01-10.033)
P1\P2\UR4,C10,0,0,0,0,0,live (cm2016-01-10.033)
P1\P2\LR4,C10,0,0,0,0,0,live (cm2016-01-10.033)
P1\P2\LL5,C10,80.35,94.21,4195,1.06E+05,105.7,live (cm2016-01-10.033)
P1\P2\UL5,C10,4.58,5.37,239,6.02E+03,6.02,live (cm2016-01-10.033)
P1\P2\UR5,C10,0.21,0.25,11,277,0.28,live (cm2016-01-10.033)
P1\P2\LR5,C10,0.15,0.18,8,202,0.2,live (cm2016-01-10.033)
cm2016-01-10.032,A10,100,---,4663,1.22E+05,122.44,cm2016-01-10.032
P1,A10,99.85,99.85,4656,1.22E+05,122.26,cm2016-01-10.032
P1\P2,A10,98.52,98.67,4594,1.21E+05,120.63,cm2016-01-10.032
P1\P2\LL3,A10,98.52,100,4594,1.21E+05,120.63,cm2016-01-10.032
P1\P2\UL3,A10,0,0,0,0,0,cm2016-01-10.032
P1\P2\UR3,A10,0,0,0,0,0,cm2016-01-10.032
P1\P2\LR3,A10,0,0,0,0,0,cm2016-01-10.032
P1\P2\LL4,A10,98.52,100,4594,1.21E+05,120.63,cm2016-01-10.032
P1\P2\UL4,A10,0,0,0,0,0,cm2016-01-10.032
P1\P2\UR4,A10,0,0,0,0,0,cm2016-01-10.032
P1\P2\LR4,A10,0,0,0,0,0,cm2016-01-10.032
P1\P2\LL5,A10,97.66,99.13,4554,1.20E+05,119.58,cm2016-01-10.032
P1\P2\UL5,A10,0.71,0.72,33,867,0.87,cm2016-01-10.032
P1\P2\UR5,A10,0,0,0,0,0,cm2016-01-10.032
P1\P2\LR5,A10,0.15,0.15,7,184,0.18,cm2016-01-10.032
cm2016-01-10.031,C9,100,---,6079,1.52E+05,152.06,cm2016-01-10.031
P1,C9,61.64,61.64,3747,9.37E+04,93.73,cm2016-01-10.031
P1\P2,C9,59.83,97.06,3637,9.10E+04,90.98,cm2016-01-10.031
P1\P2\LL3,C9,59.73,99.84,3631,9.08E+04,90.82,cm2016-01-10.031
P1\P2\UL3,C9,0.08,0.14,5,125,0.13,cm2016-01-10.031
P1\P2\UR3,C9,0.02,0.03,1,25,0.03,cm2016-01-10.031
P1\P2\LR3,C9,0,0,0,0,0,cm2016-01-10.031
P1\P2\LL4,C9,59.8,99.95,3635,9.09E+04,90.93,cm2016-01-10.031
P1\P2\UL4,C9,0,0,0,0,0,cm2016-01-10.031
P1\P2\UR4,C9,0,0,0,0,0,cm2016-01-10.031
P1\P2\LR4,C9,0.03,0.05,2,50,0.05,cm2016-01-10.031
P1\P2\LL5,C9,58.32,97.47,3545,8.87E+04,88.67,cm2016-01-10.031
P1\P2\UL5,C9,1,1.68,61,1.53E+03,1.53,cm2016-01-10.031
P1\P2\UR5,C9,0.28,0.47,17,425,0.43,cm2016-01-10.031
P1\P2\LR5,C9,0.23,0.38,14,350,0.35,cm2016-01-10.031
cm2016-01-10.030,A9,100,---,4182,1.08E+05,107.98,cm2016-01-10.030
P1,A9,99.69,99.69,4169,1.08E+05,107.65,cm2016-01-10.030
P1\P2,A9,98.71,99.02,4128,1.07E+05,106.59,cm2016-01-10.030
P1\P2\LL3,A9,98.71,100,4128,1.07E+05,106.59,cm2016-01-10.030
P1\P2\UL3,A9,0,0,0,0,0,cm2016-01-10.030
P1\P2\UR3,A9,0,0,0,0,0,cm2016-01-10.030
P1\P2\LR3,A9,0,0,0,0,0,cm2016-01-10.030
P1\P2\LL4,A9,98.71,100,4128,1.07E+05,106.59,cm2016-01-10.030
P1\P2\UL4,A9,0,0,0,0,0,cm2016-01-10.030
P1\P2\UR4,A9,0,0,0,0,0,cm2016-01-10.030
P1\P2\LR4,A9,0,0,0,0,0,cm2016-01-10.030
P1\P2\LL5,A9,97.9,99.18,4094,1.06E+05,105.71,cm2016-01-10.030
P1\P2\UL5,A9,0.33,0.34,14,361,0.36,cm2016-01-10.030
P1\P2\UR5,A9,0.05,0.05,2,51.6,0.05,cm2016-01-10.030
P1\P2\LR5,A9,0.43,0.44,18,465,0.46,cm2016-01-10.030
cm2016-01-10.029,C8,100,---,4269,1.11E+05,110.58,cm2016-01-10.029
P1,C8,99.77,99.77,4259,1.10E+05,110.33,cm2016-01-10.029
P1\P2,C8,98.59,98.83,4209,1.09E+05,109.03,cm2016-01-10.029
P1\P2\LL3,C8,98.38,99.79,4200,1.09E+05,108.8,cm2016-01-10.029
P1\P2\UL3,C8,0.16,0.17,7,181,0.18,cm2016-01-10.029
P1\P2\UR3,C8,0.05,0.05,2,51.8,0.05,cm2016-01-10.029
P1\P2\LR3,C8,0,0,0,0,0,cm2016-01-10.029
P1\P2\LL4,C8,98.57,99.98,4208,1.09E+05,109,cm2016-01-10.029
P1\P2\UL4,C8,0,0,0,0,0,cm2016-01-10.029
P1\P2\UR4,C8,0.02,0.02,1,25.9,0.03,cm2016-01-10.029
P1\P2\LR4,C8,0,0,0,0,0,cm2016-01-10.029
P1\P2\LL5,C8,93.63,94.96,3997,1.04E+05,103.54,cm2016-01-10.029
P1\P2\UL5,C8,4.29,4.35,183,4.74E+03,4.74,cm2016-01-10.029
P1\P2\UR5,C8,0.37,0.38,16,414,0.41,cm2016-01-10.029
P1\P2\LR5,C8,0.3,0.31,13,337,0.34,cm2016-01-10.029
cm2016-01-10.028,A8,100,---,4738,1.21E+05,120.71,cm2016-01-10.028
P1,A8,87.95,87.95,4167,1.06E+05,106.17,cm2016-01-10.028
P1\P2,A8,87.21,99.16,4132,1.05E+05,105.27,cm2016-01-10.028
P1\P2\LL3,A8,87.15,99.93,4129,1.05E+05,105.2,cm2016-01-10.028
P1\P2\UL3,A8,0.04,0.05,2,51,0.05,cm2016-01-10.028
P1\P2\UR3,A8,0.02,0.02,1,25.5,0.03,cm2016-01-10.028
P1\P2\LR3,A8,0,0,0,0,0,cm2016-01-10.028
P1\P2\LL4,A8,87.19,99.98,4131,1.05E+05,105.25,cm2016-01-10.028
P1\P2\UL4,A8,0,0,0,0,0,cm2016-01-10.028
P1\P2\UR4,A8,0,0,0,0,0,cm2016-01-10.028
P1\P2\LR4,A8,0.02,0.02,1,25.5,0.03,cm2016-01-10.028
P1\P2\LL5,A8,86.24,98.89,4086,1.04E+05,104.1,cm2016-01-10.028
P1\P2\UL5,A8,0.51,0.58,24,611,0.61,cm2016-01-10.028
P1\P2\UR5,A8,0.08,0.1,4,102,0.1,cm2016-01-10.028
P1\P2\LR5,A8,0.38,0.44,18,459,0.46,cm2016-01-10.028
cm2016-01-10.027,C7,100,---,10000,3.04E+05,304.38,cm2016-01-10.027
P1,C7,35.46,35.46,3546,1.08E+05,107.93,cm2016-01-10.027
P1\P2,C7,34.52,97.35,3452,1.05E+05,105.07,cm2016-01-10.027
P1\P2\LL3,C7,34.45,99.8,3445,1.05E+05,104.86,cm2016-01-10.027
P1\P2\UL3,C7,0.05,0.14,5,152,0.15,cm2016-01-10.027
P1\P2\UR3,C7,0,0,0,0,0,cm2016-01-10.027
P1\P2\LR3,C7,0.02,0.06,2,60.9,0.06,cm2016-01-10.027
P1\P2\LL4,C7,34.3,99.36,3430,1.04E+05,104.4,cm2016-01-10.027
P1\P2\UL4,C7,0,0,0,0,0,cm2016-01-10.027
P1\P2\UR4,C7,0,0,0,0,0,cm2016-01-10.027
