Path,WID,%-T,%-#,Count,Count/mL,Count/_L,file
live (cm2016-01-09.032),G10,100,---,20000,1.37E+06,"1,371.37",live (cm2016-01-09.032)
P1,G10,99.56,99.56,19911,1.37E+06,"1,365.26",live (cm2016-01-09.032)
P1\P2,G10,98.48,98.93,19697,1.35E+06,"1,350.59",live (cm2016-01-09.032)
P1\P2\LL3,G10,98.45,99.96,19690,1.35E+06,"1,350.11",live (cm2016-01-09.032)
P1\P2\UL3,G10,0.01,0.01,1,68.6,0.07,live (cm2016-01-09.032)
P1\P2\UR3,G10,0.01,0.01,1,68.6,0.07,live (cm2016-01-09.032)
P1\P2\LR3,G10,0.03,0.03,5,343,0.34,live (cm2016-01-09.032)
P1\P2\LL4,G10,98.48,100,19697,1.35E+06,"1,350.59",live (cm2016-01-09.032)
P1\P2\UL4,G10,0,0,0,0,0,live (cm2016-01-09.032)
P1\P2\UR4,G10,0,0,0,0,0,live (cm2016-01-09.032)
P1\P2\LR4,G10,0,0,0,0,0,live (cm2016-01-09.032)
P1\P2\LL5,G10,98.05,99.56,19610,1.34E+06,"1,344.62",live (cm2016-01-09.032)
P1\P2\UL5,G10,0.01,0.01,1,68.6,0.07,live (cm2016-01-09.032)
P1\P2\UR5,G10,0.01,0.01,1,68.6,0.07,live (cm2016-01-09.032)
P1\P2\LR5,G10,0.43,0.43,85,5.83E+03,5.83,live (cm2016-01-09.032)
cm2016-01-09.031,E10,100,---,289,3.24E+03,3.24,cm2016-01-09.031
P1,E10,91,91,263,2.95E+03,2.95,cm2016-01-09.031
P1\P2,E10,89.97,98.86,260,2.92E+03,2.92,cm2016-01-09.031
P1\P2\LL3,E10,89.97,100,260,2.92E+03,2.92,cm2016-01-09.031
P1\P2\UL3,E10,0,0,0,0,0,cm2016-01-09.031
P1\P2\UR3,E10,0,0,0,0,0,cm2016-01-09.031
P1\P2\LR3,E10,0,0,0,0,0,cm2016-01-09.031
P1\P2\LL4,E10,89.97,100,260,2.92E+03,2.92,cm2016-01-09.031
P1\P2\UL4,E10,0,0,0,0,0,cm2016-01-09.031
P1\P2\UR4,E10,0,0,0,0,0,cm2016-01-09.031
P1\P2\LR4,E10,0,0,0,0,0,cm2016-01-09.031
P1\P2\LL5,E10,89.27,99.23,258,2.89E+03,2.89,cm2016-01-09.031
P1\P2\UL5,E10,0,0,0,0,0,cm2016-01-09.031
P1\P2\UR5,E10,0,0,0,0,0,cm2016-01-09.031
P1\P2\LR5,E10,0.69,0.77,2,22.4,0.02,cm2016-01-09.031
cm2016-01-09.030,G9,100,---,20000,1.09E+06,"1,089.62",cm2016-01-09.030
P1,G9,99.38,99.38,19875,1.08E+06,"1,082.81",cm2016-01-09.030
P1\P2,G9,98.58,99.2,19716,1.07E+06,"1,074.15",cm2016-01-09.030
P1\P2\LL3,G9,98.56,99.97,19711,1.07E+06,"1,073.88",cm2016-01-09.030
P1\P2\UL3,G9,0.03,0.03,5,272,0.27,cm2016-01-09.030
P1\P2\UR3,G9,0,0,0,0,0,cm2016-01-09.030
P1\P2\LR3,G9,0,0,0,0,0,cm2016-01-09.030
P1\P2\LL4,G9,98.58,100,19716,1.07E+06,"1,074.15",cm2016-01-09.030
P1\P2\UL4,G9,0,0,0,0,0,cm2016-01-09.030
P1\P2\UR4,G9,0,0,0,0,0,cm2016-01-09.030
P1\P2\LR4,G9,0,0,0,0,0,cm2016-01-09.030
P1\P2\LL5,G9,98.13,99.55,19627,1.07E+06,"1,069.30",cm2016-01-09.030
P1\P2\UL5,G9,0,0,0,0,0,cm2016-01-09.030
P1\P2\UR5,G9,0,0,0,0,0,cm2016-01-09.030
P1\P2\LR5,G9,0.45,0.45,89,4.85E+03,4.85,cm2016-01-09.030
cm2016-01-09.029,E9,100,---,285,3.22E+03,3.22,cm2016-01-09.029
P1,E9,89.47,89.47,255,2.88E+03,2.88,cm2016-01-09.029
P1\P2,E9,89.12,99.61,254,2.87E+03,2.87,cm2016-01-09.029
P1\P2\LL3,E9,89.12,100,254,2.87E+03,2.87,cm2016-01-09.029
P1\P2\UL3,E9,0,0,0,0,0,cm2016-01-09.029
P1\P2\UR3,E9,0,0,0,0,0,cm2016-01-09.029
P1\P2\LR3,E9,0,0,0,0,0,cm2016-01-09.029
P1\P2\LL4,E9,89.12,100,254,2.87E+03,2.87,cm2016-01-09.029
P1\P2\UL4,E9,0,0,0,0,0,cm2016-01-09.029
P1\P2\UR4,E9,0,0,0,0,0,cm2016-01-09.029
P1\P2\LR4,E9,0,0,0,0,0,cm2016-01-09.029
P1\P2\LL5,E9,87.72,98.43,250,2.83E+03,2.83,cm2016-01-09.029
P1\P2\UL5,E9,0,0,0,0,0,cm2016-01-09.029
P1\P2\UR5,E9,0,0,0,0,0,cm2016-01-09.029
P1\P2\LR5,E9,1.4,1.57,4,45.2,0.05,cm2016-01-09.029
cm2016-01-09.028,G8,100,---,20000,6.78E+05,677.97,cm2016-01-09.028
P1,G8,98.83,98.83,19767,6.70E+05,670.07,cm2016-01-09.028
P1\P2,G8,98.11,99.26,19621,6.65E+05,665.12,cm2016-01-09.028
P1\P2\LL3,G8,98.06,99.96,19613,6.65E+05,664.85,cm2016-01-09.028
P1\P2\UL3,G8,0.01,0.02,3,102,0.1,cm2016-01-09.028
P1\P2\UR3,G8,0.02,0.02,4,136,0.14,cm2016-01-09.028
P1\P2\LR3,G8,0.01,0.01,1,33.9,0.03,cm2016-01-09.028
P1\P2\LL4,G8,98.11,100,19621,6.65E+05,665.12,cm2016-01-09.028
P1\P2\UL4,G8,0,0,0,0,0,cm2016-01-09.028
P1\P2\UR4,G8,0,0,0,0,0,cm2016-01-09.028
P1\P2\LR4,G8,0,0,0,0,0,cm2016-01-09.028
P1\P2\LL5,G8,97.77,99.65,19553,6.63E+05,662.81,cm2016-01-09.028
P1\P2\UL5,G8,0.01,0.01,1,33.9,0.03,cm2016-01-09.028
P1\P2\UR5,G8,0.01,0.01,2,67.8,0.07,cm2016-01-09.028
P1\P2\LR5,G8,0.33,0.33,65,2.20E+03,2.2,cm2016-01-09.028
cm2016-01-09.027,E8,100,---,455,5.08E+03,5.08,cm2016-01-09.027
P1,E8,85.49,85.49,389,4.34E+03,4.34,cm2016-01-09.027
P1\P2,E8,83.52,97.69,380,4.24E+03,4.24,cm2016-01-09.027
P1\P2\LL3,E8,83.52,100,380,4.24E+03,4.24,cm2016-01-09.027
P1\P2\UL3,E8,0,0,0,0,0,cm2016-01-09.027
P1\P2\UR3,E8,0,0,0,0,0,cm2016-01-09.027
P1\P2\LR3,E8,0,0,0,0,0,cm2016-01-09.027
P1\P2\LL4,E8,83.52,100,380,4.24E+03,4.24,cm2016-01-09.027
P1\P2\UL4,E8,0,0,0,0,0,cm2016-01-09.027
P1\P2\UR4,E8,0,0,0,0,0,cm2016-01-09.027
P1\P2\LR4,E8,0,0,0,0,0,cm2016-01-09.027
P1\P2\LL5,E8,82.42,98.68,375,4.18E+03,4.18,cm2016-01-09.027
P1\P2\UL5,E8,0,0,0,0,0,cm2016-01-09.027
P1\P2\UR5,E8,0,0,0,0,0,cm2016-01-09.027
P1\P2\LR5,E8,1.1,1.32,5,55.8,0.06,cm2016-01-09.027
cm2016-01-09.026,G7,100,---,20000,2.85E+05,285.37,cm2016-01-09.026
P1,G7,97.96,97.96,19592,2.80E+05,279.55,cm2016-01-09.026
P1\P2,G7,97.28,99.31,19457,2.78E+05,277.62,cm2016-01-09.026
P1\P2\LL3,G7,97.25,99.96,19449,2.78E+05,277.51,cm2016-01-09.026
P1\P2\UL3,G7,0.02,0.02,4,57.1,0.06,cm2016-01-09.026
P1\P2\UR3,G7,0.01,0.01,2,28.5,0.03,cm2016-01-09.026
P1\P2\LR3,G7,0.01,0.01,2,28.5,0.03,cm2016-01-09.026
P1\P2\LL4,G7,97.28,99.99,19456,2.78E+05,277.61,cm2016-01-09.026
P1\P2\UL4,G7,0,0,0,0,0,cm2016-01-09.026
P1\P2\UR4,G7,0,0,0,0,0,cm2016-01-09.026
P1\P2\LR4,G7,0.01,0.01,1,14.3,0.01,cm2016-01-09.026
P1\P2\LL5,G7,97,99.7,19399,2.77E+05,276.8,cm2016-01-09.026
P1\P2\UL5,G7,0,0,0,0,0,cm2016-01-09.026
P1\P2\UR5,G7,0.01,0.01,1,14.3,0.01,cm2016-01-09.026
P1\P2\LR5,G7,0.29,0.29,57,813,0.81,cm2016-01-09.026
cm2016-01-09.025,E7,100,---,1097,1.22E+04,12.22,cm2016-01-09.025
P1,E7,86.42,86.42,948,1.06E+04,10.56,cm2016-01-09.025
P1\P2,E7,84.87,98.21,931,1.04E+04,10.37,cm2016-01-09.025
P1\P2\LL3,E7,84.87,100,931,1.04E+04,10.37,cm2016-01-09.025
P1\P2\UL3,E7,0,0,0,0,0,cm2016-01-09.025
P1\P2\UR3,E7,0,0,0,0,0,cm2016-01-09.025
P1\P2\LR3,E7,0,0,0,0,0,cm2016-01-09.025
P1\P2\LL4,E7,84.87,100,931,1.04E+04,10.37,cm2016-01-09.025
P1\P2\UL4,E7,0,0,0,0,0,cm2016-01-09.025
P1\P2\UR4,E7,0,0,0,0,0,cm2016-01-09.025
P1\P2\LR4,E7,0,0,0,0,0,cm2016-01-09.025
P1\P2\LL5,E7,84.41,99.46,926,1.03E+04,10.32,cm2016-01-09.025
