Path,%-T,%-#,Count,Count/mL,Count/µL,file
live (cm2016-01-31.007),100.00,---,38751,3.88e5,387.91,live (cm2016-01-31.007)
P1,99.33,99.33,38490,3.85e5,385.30,live (cm2016-01-31.007)
P1\P2,97.98,98.64,37968,3.8e5,380.08,live (cm2016-01-31.007)
P1\P2\LL3,0.82,0.83,316,3.16e3,3.16,live (cm2016-01-31.007)
P1\P2\UL3,55.72,56.87,21592,2.16e5,216.14,live (cm2016-01-31.007)
P1\P2\UR3,0.14,0.14,54,541,0.54,live (cm2016-01-31.007)
P1\P2\LR3,41.30,42.16,16006,1.6e5,160.23,live (cm2016-01-31.007)
P1\P2\LL4,42.16,43.03,16336,1.64e5,163.53,live (cm2016-01-31.007)
P1\P2\UL4,55.82,56.97,21631,2.17e5,216.54,live (cm2016-01-31.007)
P1\P2\UR4,0.00,0.00,0,0,0.00,live (cm2016-01-31.007)
P1\P2\LR4,0.00,0.00,1,10,0.01,live (cm2016-01-31.007)
P1\P2\LL5,41.80,42.66,16196,1.62e5,162.13,live (cm2016-01-31.007)
P1\P2\UL5,0.00,0.00,1,10,0.01,live (cm2016-01-31.007)
P1\P2\UR5,0.00,0.00,1,10,0.01,live (cm2016-01-31.007)
P1\P2\LR5,56.18,57.34,21770,2.18e5,217.93,live (cm2016-01-31.007)
cm2016-01-31.006,100.00,---,44960,4.5e5,450.07,cm2016-01-31.006
P1,99.27,99.27,44630,4.47e5,446.76,cm2016-01-31.006
P1\P2,97.64,98.36,43898,4.39e5,439.44,cm2016-01-31.006
P1\P2\LL3,29.08,29.78,13074,1.31e5,130.88,cm2016-01-31.006
P1\P2\UL3,5.27,5.40,2369,2.37e4,23.71,cm2016-01-31.006
P1\P2\UR3,0.05,0.05,21,210,0.21,cm2016-01-31.006
P1\P2\LR3,63.24,64.77,28434,2.85e5,284.64,cm2016-01-31.006
P1\P2\LL4,92.42,94.66,41552,4.16e5,415.95,cm2016-01-31.006
P1\P2\UL4,5.21,5.34,2343,2.35e4,23.45,cm2016-01-31.006
P1\P2\UR4,0.00,0.00,2,20,0.02,cm2016-01-31.006
P1\P2\LR4,0.00,0.00,1,10,0.01,cm2016-01-31.006
P1\P2\LL5,90.54,92.74,40709,4.08e5,407.51,cm2016-01-31.006
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-01-31.006
P1\P2\UR5,0.01,0.01,5,50.1,0.05,cm2016-01-31.006
P1\P2\LR5,7.08,7.25,3184,3.19e4,31.87,cm2016-01-31.006
cm2016-01-31.005,100.00,---,39248,3.93e5,392.89,cm2016-01-31.005
P1,99.39,99.39,39009,3.9e5,390.50,cm2016-01-31.005
P1\P2,98.00,98.61,38465,3.85e5,385.05,cm2016-01-31.005
P1\P2\LL3,0.03,0.03,10,100,0.10,cm2016-01-31.005
P1\P2\UL3,97.98,99.97,38455,3.85e5,384.95,cm2016-01-31.005
P1\P2\UR3,0.00,0.00,0,0,0.00,cm2016-01-31.005
P1\P2\LR3,0.00,0.00,0,0,0.00,cm2016-01-31.005
