Path,%-T,%-#,Count,Count/mL,Count/µL,file
live (cm2016-02-04.030),100.00,---,23175,2.32e5,231.99,live (cm2016-02-04.030)
P1,99.17,99.17,22982,2.3e5,230.06,live (cm2016-02-04.030)
P1\P2,98.02,98.85,22717,2.27e5,227.41,live (cm2016-02-04.030)
P1\P2\LL3,0.02,0.02,4,40,0.04,live (cm2016-02-04.030)
P1\P2\UL3,98.00,99.98,22712,2.27e5,227.36,live (cm2016-02-04.030)
P1\P2\UR3,0.00,0.00,0,0,0.00,live (cm2016-02-04.030)
P1\P2\LR3,0.00,0.00,1,10,0.01,live (cm2016-02-04.030)
P1\P2\LL4,0.13,0.13,30,300,0.30,live (cm2016-02-04.030)
P1\P2\UL4,97.89,99.87,22687,2.27e5,227.11,live (cm2016-02-04.030)
P1\P2\UR4,0.00,0.00,0,0,0.00,live (cm2016-02-04.030)
P1\P2\LR4,0.00,0.00,0,0,0.00,live (cm2016-02-04.030)
P1\P2\LL5,0.02,0.02,4,40,0.04,live (cm2016-02-04.030)
P1\P2\UL5,0.00,0.00,0,0,0.00,live (cm2016-02-04.030)
P1\P2\UR5,0.07,0.07,16,160,0.16,live (cm2016-02-04.030)
P1\P2\LR5,97.94,99.91,22697,2.27e5,227.21,live (cm2016-02-04.030)
cm2016-02-04.029,100.00,---,16005,1.6e5,160.22,cm2016-02-04.029
P1,98.94,98.94,15836,1.59e5,158.52,cm2016-02-04.029
P1\P2,97.74,98.79,15644,1.57e5,156.60,cm2016-02-04.029
P1\P2\LL3,0.07,0.08,12,120,0.12,cm2016-02-04.029
P1\P2\UL3,97.67,99.92,15632,1.56e5,156.48,cm2016-02-04.029
P1\P2\UR3,0.00,0.00,0,0,0.00,cm2016-02-04.029
P1\P2\LR3,0.00,0.00,0,0,0.00,cm2016-02-04.029
P1\P2\LL4,0.18,0.19,29,290,0.29,cm2016-02-04.029
P1\P2\UL4,97.55,99.80,15613,1.56e5,156.29,cm2016-02-04.029
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-04.029
P1\P2\LR4,0.01,0.01,2,20,0.02,cm2016-02-04.029
P1\P2\LL5,0.06,0.06,9,90.1,0.09,cm2016-02-04.029
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-04.029
P1\P2\UR5,0.01,0.01,2,20,0.02,cm2016-02-04.029
P1\P2\LR5,97.68,99.93,15633,1.56e5,156.49,cm2016-02-04.029
cm2016-02-04.028,100.00,---,10323,1.03e5,103.34,cm2016-02-04.028
P1,98.89,98.89,10208,1.02e5,102.19,cm2016-02-04.028
P1\P2,97.26,98.35,10040,1.01e5,100.50,cm2016-02-04.028
P1\P2\LL3,3.74,3.84,386,3.86e3,3.86,cm2016-02-04.028
P1\P2\UL3,54.56,56.10,5632,5.64e4,56.38,cm2016-02-04.028
P1\P2\UR3,0.08,0.08,8,80.1,0.08,cm2016-02-04.028
P1\P2\LR3,38.88,39.98,4014,4.02e4,40.18,cm2016-02-04.028
P1\P2\LL4,42.76,43.96,4414,4.42e4,44.19,cm2016-02-04.028
P1\P2\UL4,54.49,56.03,5625,5.63e4,56.31,cm2016-02-04.028
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-04.028
P1\P2\LR4,0.01,0.01,1,10,0.01,cm2016-02-04.028
P1\P2\LL5,42.01,43.20,4337,4.34e4,43.42,cm2016-02-04.028
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-04.028
P1\P2\UR5,0.03,0.03,3,30,0.03,cm2016-02-04.028
P1\P2\LR5,55.22,56.77,5700,5.71e4,57.06,cm2016-02-04.028
cm2016-02-04.027,100.00,---,9811,9.8e4,98.03,cm2016-02-04.027
P1,99.10,99.10,9723,9.71e4,97.15,cm2016-02-04.027
P1\P2,97.94,98.83,9609,9.6e4,96.01,cm2016-02-04.027
P1\P2\LL3,0.03,0.03,3,30,0.03,cm2016-02-04.027
P1\P2\UL3,97.90,99.96,9605,9.6e4,95.97,cm2016-02-04.027
P1\P2\UR3,0.01,0.01,1,9.99,0.01,cm2016-02-04.027
P1\P2\LR3,0.00,0.00,0,0,0.00,cm2016-02-04.027
P1\P2\LL4,0.17,0.18,17,170,0.17,cm2016-02-04.027
P1\P2\UL4,97.74,99.79,9589,9.58e4,95.81,cm2016-02-04.027
P1\P2\UR4,0.01,0.01,1,9.99,0.01,cm2016-02-04.027
P1\P2\LR4,0.02,0.02,2,20,0.02,cm2016-02-04.027
P1\P2\LL5,0.01,0.01,1,9.99,0.01,cm2016-02-04.027
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-04.027
P1\P2\UR5,0.04,0.04,4,40,0.04,cm2016-02-04.027
P1\P2\LR5,97.89,99.95,9604,9.6e4,95.96,cm2016-02-04.027
cm2016-02-04.026,100.00,---,25163,2.52e5,251.89,cm2016-02-04.026
P1,99.03,99.03,24919,2.49e5,249.45,cm2016-02-04.026
P1\P2,97.75,98.70,24596,2.46e5,246.22,cm2016-02-04.026
P1\P2\LL3,0.03,0.03,7,70.1,0.07,cm2016-02-04.026
P1\P2\UL3,97.71,99.97,24588,2.46e5,246.14,cm2016-02-04.026
P1\P2\UR3,0.00,0.00,0,0,0.00,cm2016-02-04.026
P1\P2\LR3,0.00,0.00,1,10,0.01,cm2016-02-04.026
P1\P2\LL4,0.08,0.08,20,200,0.20,cm2016-02-04.026
