Path,%-T,%-#,Count,Count/mL,Count/µL,file
cm2016-02-06.007,100.00,---,31452,3.15e5,314.85,cm2016-02-06.007
P1,99.10,99.10,31168,3.12e5,312.00,cm2016-02-06.007
P1\P2,97.68,98.57,30721,3.08e5,307.53,cm2016-02-06.007
P1\P2\LL3,0.01,0.01,4,40,0.04,cm2016-02-06.007
P1\P2\UL3,97.66,99.99,30717,3.07e5,307.49,cm2016-02-06.007
P1\P2\UR3,0.00,0.00,0,0,0.00,cm2016-02-06.007
P1\P2\LR3,0.00,0.00,0,0,0.00,cm2016-02-06.007
P1\P2\LL4,0.05,0.05,16,160,0.16,cm2016-02-06.007
P1\P2\UL4,97.62,99.95,30705,3.07e5,307.37,cm2016-02-06.007
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-06.007
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-06.007
P1\P2\LL5,0.01,0.01,3,30,0.03,cm2016-02-06.007
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-06.007
P1\P2\UR5,0.00,0.00,1,10,0.01,cm2016-02-06.007
P1\P2\LR5,97.66,99.99,30717,3.07e5,307.49,cm2016-02-06.007
cm2016-02-06.006,100.00,---,31923,3.2e5,319.56,cm2016-02-06.006
P1,99.00,99.00,31604,3.16e5,316.37,cm2016-02-06.006
P1\P2,97.61,98.60,31160,3.12e5,311.92,cm2016-02-06.006
P1\P2\LL3,0.08,0.09,27,270,0.27,cm2016-02-06.006
P1\P2\UL3,97.27,99.66,31053,3.11e5,310.85,cm2016-02-06.006
P1\P2\UR3,0.00,0.00,0,0,0.00,cm2016-02-06.006
P1\P2\LR3,0.25,0.26,80,801,0.80,cm2016-02-06.006
P1\P2\LL4,0.52,0.53,165,1.65e3,1.65,cm2016-02-06.006
P1\P2\UL4,97.09,99.47,30995,3.1e5,310.27,cm2016-02-06.006
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-06.006
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-06.006
P1\P2\LL5,0.31,0.32,99,991,0.99,cm2016-02-06.006
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-06.006
P1\P2\UR5,0.02,0.02,6,60.1,0.06,cm2016-02-06.006
P1\P2\LR5,97.28,99.66,31055,3.11e5,310.87,cm2016-02-06.006
cm2016-02-06.005,100.00,---,33504,3.35e5,335.39,cm2016-02-06.005
P1,98.81,98.81,33104,3.31e5,331.38,cm2016-02-06.005
P1\P2,97.70,98.88,32734,3.28e5,327.68,cm2016-02-06.005
P1\P2\LL3,6.93,7.09,2321,2.32e4,23.23,cm2016-02-06.005
P1\P2\UL3,44.25,45.29,14824,1.48e5,148.39,cm2016-02-06.005
P1\P2\UR3,0.22,0.23,75,751,0.75,cm2016-02-06.005
P1\P2\LR3,46.30,47.39,15514,1.55e5,155.30,cm2016-02-06.005
P1\P2\LL4,53.55,54.81,17941,1.8e5,179.60,cm2016-02-06.005
P1\P2\UL4,44.15,45.19,14793,1.48e5,148.08,cm2016-02-06.005
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-06.005
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-06.005
P1\P2\LL5,51.81,53.03,17358,1.74e5,173.76,cm2016-02-06.005
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-06.005
P1\P2\UR5,0.01,0.01,2,20,0.02,cm2016-02-06.005
P1\P2\LR5,45.89,46.97,15374,1.54e5,153.90,cm2016-02-06.005
cm2016-02-06.003,100.00,---,33985,3.4e5,340.20,cm2016-02-06.003
P1,99.00,99.00,33645,3.37e5,336.80,cm2016-02-06.003
P1\P2,97.56,98.55,33156,3.32e5,331.91,cm2016-02-06.003
P1\P2\LL3,0.03,0.03,11,110,0.11,cm2016-02-06.003
P1\P2\UL3,97.53,99.97,33145,3.32e5,331.80,cm2016-02-06.003
P1\P2\UR3,0.00,0.00,0,0,0.00,cm2016-02-06.003
P1\P2\LR3,0.00,0.00,0,0,0.00,cm2016-02-06.003
P1\P2\LL4,0.18,0.19,62,621,0.62,cm2016-02-06.003
P1\P2\UL4,97.38,99.81,33094,3.31e5,331.28,cm2016-02-06.003
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-06.003
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-06.003
P1\P2\LL5,0.02,0.02,6,60.1,0.06,cm2016-02-06.003
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-06.003
P1\P2\UR5,0.01,0.01,4,40,0.04,cm2016-02-06.003
P1\P2\LR5,97.53,99.97,33146,3.32e5,331.81,cm2016-02-06.003
cm2016-02-06.002,100.00,---,28685,2.87e5,287.15,cm2016-02-06.002
P1,99.08,99.08,28422,2.85e5,284.52,cm2016-02-06.002
P1\P2,97.82,98.73,28061,2.81e5,280.90,cm2016-02-06.002
P1\P2\LL3,0.02,0.02,7,70.1,0.07,cm2016-02-06.002
P1\P2\UL3,97.78,99.96,28049,2.81e5,280.78,cm2016-02-06.002
P1\P2\UR3,0.00,0.00,0,0,0.00,cm2016-02-06.002
P1\P2\LR3,0.02,0.02,5,50.1,0.05,cm2016-02-06.002
P1\P2\LL4,0.12,0.12,35,350,0.35,cm2016-02-06.002
P1\P2\UL4,97.70,99.88,28026,2.81e5,280.55,cm2016-02-06.002
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-06.002
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-06.002
P1\P2\LL5,0.03,0.03,9,90.1,0.09,cm2016-02-06.002
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-06.002
P1\P2\UR5,0.00,0.00,0,0,0.00,cm2016-02-06.002
P1\P2\LR5,97.79,99.97,28052,2.81e5,280.81,cm2016-02-06.002
cm2016-02-06.001,100.00,---,42500,4.25e5,425.44,cm2016-02-06.001
P1,98.83,98.83,42002,4.2e5,420.46,cm2016-02-06.001
P1\P2,97.20,98.35,41310,4.14e5,413.53,cm2016-02-06.001
P1\P2\LL3,18.53,19.07,7876,7.88e4,78.84,cm2016-02-06.001
P1\P2\UL3,45.76,47.08,19448,1.95e5,194.68,cm2016-02-06.001
P1\P2\UR3,0.22,0.22,92,921,0.92,cm2016-02-06.001
P1\P2\LR3,32.69,33.63,13894,1.39e5,139.08,cm2016-02-06.001
P1\P2\LL4,51.59,53.08,21927,2.19e5,219.50,cm2016-02-06.001
P1\P2\UL4,45.61,46.92,19383,1.94e5,194.03,cm2016-02-06.001
P1\P2\UR4,0.00,0.00,0,0,0.00,cm2016-02-06.001
P1\P2\LR4,0.00,0.00,0,0,0.00,cm2016-02-06.001
P1\P2\LL5,48.69,50.09,20693,2.07e5,207.15,cm2016-02-06.001
P1\P2\UL5,0.00,0.00,0,0,0.00,cm2016-02-06.001
P1\P2\UR5,0.00,0.00,1,10,0.01,cm2016-02-06.001
P1\P2\LR5,48.51,49.91,20616,2.06e5,206.37,cm2016-02-06.001
